question_id,employee_question
Q01,I just got married last month - can I add my spouse to my medical plan now?
Q02,How much does the company match on my 401k and when does it vest?
Q03,I'm having a baby in the spring - how many weeks of paid parental leave do I get?
Q04,Can I have both an HSA and a healthcare FSA at the same time?
Q05,I work 24 hours a week - which benefits am I eligible for?
Q06,How many PTO days do I accrue after 7 years here and how much carries over?
Q07,Does the company help pay for my home internet if I work remotely?
Q08,What is the deductible on the Silver PPO plan?
Q09,Is there a lifetime maximum for my kid's braces under the dental plan?
Q10,Can I get reimbursed for a cloud certification course?
Q11,What will the 401k match and vesting schedule be starting next year?
Q12,How many years of service do I need before I can take a sabbatical?
Q13,"If I take parental leave, does my PTO keep accruing while I'm out?"
Q14,My grandfather passed away - how much bereavement leave do I get?
Q15,I'm on the Bronze HDHP - how much does the company put into my HSA for family coverage?
